#Ticker,Date,Time,GMT Offset,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size
IBM,04-APR-2014,13:30:04.599,-4,Trade,193.01,49042,,,,
IBM,04-APR-2014,13:30:04.599,-4,Quote,,,193,50,193.03,1
IBM,04-APR-2014,13:30:04.599,-4,Quote,,,193,50,193.03,1
IBM,04-APR-2014,13:30:04.599,-4,Trade,193.03,100,,,,
IBM,04-APR-2014,13:30:04.599,-4,Trade,193.03,50,,,,
IBM,04-APR-2014,13:30:04.599,-4,Quote,,,193,50,193.18,2
IBM,04-APR-2014,13:30:04.608,-4,Trade,193.07,1,,,,
IBM,04-APR-2014,13:30:04.629,-4,Trade,193.02,2,,,,
IBM,04-APR-2014,13:30:04.639,-4,Trade,193.02,25,,,,
IBM,04-APR-2014,13:30:05.708,-4,Quote,,,192.82,1,193.18,2
IBM,04-APR-2014,13:30:05.708,-4,Trade,193,40,,,,
IBM,04-APR-2014,13:30:05.818,-4,Quote,,,192.82,1,193.23,1
IBM,04-APR-2014,13:30:06.328,-4,Quote,,,192.82,1,193.23,1
IBM,04-APR-2014,13:30:09.078,-4,Trade,193.1,19,,,,
